"","year","make","model","price","mileage","ratings"
"350",2015,"Honda","CR","14500","46121","4.7  "
"351",2013,"Audi","allroad","11995","136780","3.3  "
"352",2004,"Saab","9","2695","124740","3.3  "
"353",2015,"BMW","X5","33485","35345","4.7  "
"354",2018,"Nissan","Frontier","24657","20465","4.8  "
"355",2018,"Toyota","Camry","26999","6508","4.6  "
"356",2005,"Toyota","RAV4","8000","97284","5  "
"357",2006,"Toyota","Land","22295","141909","4.6  "
"358",1999,"Chevrolet","Cavalier","4000","99610","5  "
"359",2013,"Mercedes","Benz","11300","128727","5  "
"360",2013,"Lexus","GS","17298","102559","4.9  "
"361",2018,"BMW","M550","72200","238","3  "
"362",2018,"BMW","330","46583","4721","4.9  "
"363",2016,"Ford","F","34296","29499","4.9  "
"364",2007,"Audi","A4","7950","74622","4  "
"365",2016,"Toyota","Camry","14988","30013","4.8  "
"366",2015,"BMW","X5","34400","23053","4.8  "
"367",2013,"Nissan","Rogue","8995","62460",NA
"368",2001,"BMW","325","5000","98113","3.1  "
"369",2012,"Volvo","XC90","14500","74039","3.1  "
"370",2017,"Mercedes","Benz","42000","22964","4.8  "
"371",2008,"Lexus","GX","19795","77798","4.9  "
"372",2017,"Volkswagen","Golf","18997","34684","4.6  "
"373",2017,"Volkswagen","Jetta","19550","23897","3.1  "
"374",2010,"Porsche","Panamera","28900","86286","3.1  "
"375",2016,"BMW","i3","23995","17669","4.9  "
"376",2004,"Mercedes","Benz","8995","44802","4.8  "
"377",2001,"Audi","S8","13991","70086","3.4  "
"378",2018,"Toyota","Prius","28185",NA,"4.8  "
"379",2015,"Chevrolet","Suburban","28990","72229","4.6  "
"380",2015,"RAM","1500","33500","37125","4.8  "
"381",2011,"Subaru","Outback","7700","154452","4.8  "
"382",2016,"Dodge","Charger","51750","22031","4.7  "
"383",2011,"Jeep","Patriot","4990","100447","4.5  "
"384",2010,"GMC","Sierra","14799","84063","4.4  "
"385",2011,"Audi","S4","20199","59696","4.4  "
"386",2008,"Nissan","Altima","5498","125015","4.4  "
"387",2006,"Honda","Pilot","5597","124227","4.4  "
"388",2015,"Volkswagen","Tiguan","14975","45586","4.8  "
"389",2009,"Toyota","Yaris","4499","83949",NA
"390",2008,"Saab","9","13995","114848",NA
"391",2003,"Chevrolet","Corvette","19751","51593","4.8  "
"392",2009,"Honda","Civic","6995","107979","4.5  "
"393",2015,"smart","ForTwo","7998","18503",NA
"394",2004,"Mercedes","Benz","5999","67444","3.7  "
"395",2017,"Ford","Focus","12000","40896","4.9  "
"396",2010,"GMC","Canyon","14995","58600","5  "
"397",2017,"Ford","F","48999","7228","4.5  "
"398",2016,"Toyota","Highlander","29800","26108","4.8  "
"399",2005,"Toyota","Camry","3395","180000","5  "
"400",2018,"Ford","F","40899","17172","4.6  "
"401",2005,"Volvo","S60","3995","134370","5  "
"402",2010,"Subaru","Forester","9770","86570","5  "
"403",1986,"Pontiac","Fiero","4995","53000","5  "
