"","Ratings","Year","Make","Model","Price","Mileage"
"454","4.7  ",2015,"Volvo","XC60","24998","36303"
"455","5  ",2019,"Chevrolet","Traverse","47395",NA
"456","4.8  ",2019,"Subaru","Ascent","43346",NA
"457","4.8  ",2019,"Subaru","Ascent","45911",NA
"458","4.8  ",2019,"Subaru","Ascent","42920",NA
"459","3.5  ",2019,"Genesis","G70","52655",NA
"460","4.8  ",2009,"Lexus","ES","8500","130513"
"461","4.9  ",2017,"Toyota","Tacoma","33480","10087"
"462","4.9  ",2016,"Toyota","Highlander","33780","13766"
"463","4  ",2018,"Audi","Q5","36249","13448"
"464","4.5  ",2016,"Mercedes","Benz","38999","11197"
"465","4.9  ",2016,"Chrysler","300C","18777","43988"
"466","4.9  ",2010,"Ford","Mustang","14998","69616"
"467","4.7  ",2014,"Toyota","RAV4","19488","57404"
"468","4.9  ",2013,"Lexus","RX","22500","65028"
"469","4.7  ",2014,"Chevrolet","Silverado","24988","75382"
"470","4.9  ",2015,"Volvo","S60","24880","35548"
"471","4.6  ",2011,"Ford","F","29790","106207"
"472","4.6  ",2018,"Ford","Explorer","31031",NA
"473","4.8  ",2018,"Hyundai","Tucson","28850",NA
"474","4.8  ",2015,"Nissan","Altima","17458","25676"
"475","4.8  ",2011,"Acura","MDX","15100","96171"
"476","4.8  ",2018,"Ford","F","32374","17860"
"477","4.8  ",2018,"Ford","F","31357","27352"
"478","4.8  ",2016,"Toyota","4Runner","29999","43405"
"479","4  ",2015,"GMC","Sierra","23955","95809"
"480","4.9  ",2019,"Ford","F","58644",NA
"481","4.9  ",2018,"Toyota","Prius","29939",NA
